,city,lngs,lats,max_temp,humidity,cloudiness,wind_speed
0,Ushuaia,-68.3,-54.8,32.0,92.0,20.0,25.28
1,Atuona,-139.03,-9.8,79.74,71.0,0.0,25.7
2,Arraial do Cabo,-42.03,-22.97,71.62,81.0,0.0,24.4
3,Rikitea,-134.97,-23.12,72.5,82.0,95.0,14.09
4,Faanui,-151.75,-16.48,79.0,80.0,88.0,12.97
5,Saint George,-113.58,37.1,100.4,11.0,1.0,17.22
6,Jamestown,-79.24,42.1,73.0,94.0,75.0,8.05
7,Cherskiy,161.3,68.75,50.41,47.0,27.0,10.47
8,Butaritari,172.79,3.07,83.17,78.0,100.0,11.54
9,Albany,-73.97,42.6,82.0,83.0,60.0,5.17
10,Hobart,147.33,-42.88,55.0,71.0,75.0,4.7
11,Tuktoyaktuk,-133.04,69.45,57.2,87.0,90.0,13.87
12,Gberia Fotombu,-11.17,9.88,68.43,98.0,100.0,5.66
13,Zhezkazgan,67.71,47.8,64.4,72.0,75.0,13.42
14,Sayansk,102.16,54.11,67.98,59.0,18.0,4.68
15,New Norfolk,147.06,-42.78,54.0,87.0,43.0,1.59
17,Esperance,121.9,-33.87,59.0,87.0,27.0,11.41
18,Hithadhoo,73.08,-0.6,82.87,78.0,100.0,14.05
19,Airai,125.41,-8.93,70.38,53.0,95.0,4.65
20,Chui,-53.46,-33.7,46.6,78.0,100.0,8.9
21,Vao,167.48,-22.67,71.6,80.0,84.0,19.86
22,Taunggyi,97.03,20.78,68.88,95.0,100.0,0.96
23,Palembang,104.75,-2.92,84.2,74.0,20.0,6.93
24,Lompoc,-120.46,34.64,62.6,77.0,0.0,12.75
25,Vaini,-175.2,-21.2,71.6,83.0,75.0,12.75
26,Hilo,-155.09,19.73,82.4,65.0,75.0,6.93
27,Rio Brilhante,-54.55,-21.8,67.8,54.0,0.0,2.62
28,Kushmurun,64.63,52.45,61.81,72.0,0.0,11.86
29,Barrow,-156.79,71.29,39.2,80.0,90.0,19.46
30,Carnarvon,113.63,-24.87,71.6,56.0,0.0,14.99
31,Ikongo,47.43,-21.88,59.32,90.0,51.0,1.9
32,Port Alfred,26.89,-33.59,55.42,62.0,0.0,7.23
33,Roebourne,117.13,-20.78,76.89,22.0,22.0,15.5
34,Saint Paul Harbor,-152.41,57.79,60.8,72.0,75.0,5.82
35,Likhoslavl',35.46,57.13,60.22,96.0,0.0,3.06
36,Kidal,1.41,18.44,82.99,56.0,99.0,13.53
37,Avarua,-159.78,-21.21,73.4,73.0,23.0,8.05
38,Lebu,-73.65,-37.62,44.06,77.0,0.0,11.5
39,Yatou,122.38,37.15,77.52,73.0,8.0,5.82
40,Mossamedes,12.15,-15.2,64.09,77.0,0.0,4.88
41,Pevek,170.31,69.7,35.31,86.0,0.0,11.45
42,Punta Arenas,-70.92,-53.15,35.6,64.0,61.0,17.22
43,Don Benito,-5.86,38.96,70.0,74.0,6.0,3.0
44,Laytown,-6.24,53.68,53.01,93.0,75.0,13.87
47,Chokurdakh,147.92,70.63,50.05,56.0,100.0,4.63
48,Lao Cai,103.95,22.48,77.41,80.0,100.0,1.12
49,Bud,-86.18,39.45,73.0,99.0,100.0,7.2
50,Morros,-46.3,-9.45,68.54,55.0,0.0,6.67
51,Kapaa,-159.32,22.08,80.6,74.0,90.0,18.34
52,East London,27.91,-33.02,55.81,59.0,0.0,5.82
53,Kaitangata,169.85,-46.28,48.99,67.0,100.0,1.99
54,Tessalit,1.01,20.2,83.7,50.0,50.0,1.61
55,Saint-Philippe,55.77,-21.36,68.0,82.0,90.0,5.82
56,Glarus,9.07,47.04,70.0,73.0,2.0,4.41
57,Zyryanka,150.85,65.75,71.65,51.0,49.0,16.4
58,Djibo,-1.63,14.1,77.27,81.0,100.0,16.24
59,Nikolskoye,30.79,59.7,60.01,82.0,58.0,4.47
60,São Joaquim,-49.93,-28.29,51.49,98.0,65.0,4.65
61,Mataura,168.86,-46.19,48.99,82.0,100.0,2.28
62,Nyurba,118.33,63.28,59.56,57.0,100.0,8.59
63,Mehamn,27.85,71.04,66.2,59.0,0.0,9.17
64,Magadan,150.8,59.57,62.73,77.0,96.0,6.11
65,Daru,143.21,-9.08,79.27,83.0,66.0,15.14
