,cities,lats,lngs,max_temp,humidity,cloudiness,wind_speed,country,date
0,torbay,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
1,fukue,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
2,chernaya kholunitsa,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
3,new norfolk,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
4,east london,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
5,shimoda,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
6,tianpeng,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
7,cabo san lucas,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
8,hilo,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
9,pevek,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
10,kapaa,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
11,port lincoln,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
12,kemijarvi,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
13,grindavik,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
14,port augusta,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
15,provideniya,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
16,rikitea,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
17,kodiak,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
18,bandarbeyla,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
19,mataura,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
20,ancud,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
21,albany,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
22,punta arenas,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
23,lushunkou,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
24,ixtapa,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
25,barrow,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
26,kavaratti,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
27,iqaluit,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
28,norton shores,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
29,yellowknife,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
30,camana,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
31,margate,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
32,lata,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
33,avarua,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
34,tabou,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
35,attawapiskat,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
36,graneros,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
37,thompson,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
38,kaeo,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
39,uvelskiy,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
40,sentyabrskiy,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
41,airai,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
42,puerto ayora,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
43,ushtobe,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
44,save,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
45,georgetown,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
46,olafsvik,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
47,port alfred,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
48,vesoul,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
49,praia,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
50,aflu,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
51,vestmannaeyjar,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
52,numan,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
53,pisco,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
54,esperance,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
55,caranavi,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
56,butaritari,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
57,lompoc,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
58,hermanus,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
59,dikson,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
60,saskylakh,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
61,upata,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
62,carnarvon,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
63,taolanaro,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
64,bluff,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
65,maceio,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
66,vaitupu,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
67,salalah,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
68,gurun,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
69,upernavik,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
70,atuona,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
71,bilma,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
72,linjiang,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
73,busselton,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
74,mys shmidta,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
75,chuy,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
76,arraial do cabo,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
77,komsomolets,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
78,komsomolskiy,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
79,maraa,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
80,mar del plata,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
81,vila velha,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
82,itaituba,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
83,vaini,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
84,samarai,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
85,the pas,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
86,namsos,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
87,sitka,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
88,severo-kurilsk,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
89,tsihombe,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
90,kunzelsau,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
91,san luis,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
92,mahebourg,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
93,almaznyy,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
94,antalaha,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
95,saldanha,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
96,ambodifototra,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
97,talisayan,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
98,caravelas,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
99,jamestown,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
100,hobart,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
101,cape town,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
102,te anau,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
103,talnakh,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
104,culebra,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
105,iberia,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
106,moa,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
107,norman wells,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
108,lamu,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
109,gazimurskiy zavod,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
110,meulaboh,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
111,canto do buriti,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
112,ban nahin,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
113,la macarena,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
114,souillac,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
115,kajaani,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
116,khatanga,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
117,kuopio,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
118,luau,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
119,saleaula,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
120,ongandjera,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
121,ponta do sol,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
122,sawtell,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
123,bardiyah,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
124,ushuaia,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
125,coquimbo,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
126,honiara,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
127,samusu,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
128,comarna,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
129,karoi,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
130,gibara,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
131,hami,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
132,port hedland,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
133,vila,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
134,port elizabeth,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
135,kabare,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
136,zhuanghe,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
137,castro,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
138,kaitangata,60.14,-45.24,281.89,62,68,0.91,GL,1595307308
139,aksum,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
140,zhigansk,60.14,-45.24,281.89,62,68,0.91,GL,1595307327
141,chokurdakh,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
142,maniitsoq,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
143,hovd,60.14,-45.24,281.89,62,68,0.91,GL,1595307325
